language_iso	trans_ID	language_english	language_name	version	verses
bkv	BKVWYI	Bekwarra	Bekwarra	WYI # 1983 Edition	7959
blt	BLTEPI	Tai Dam	Tai Dam	EPI # 2013 Edition	7943
blz	BLZLAI	Balantak	Balantak	LAI # 2010 Edition	7958
bmh	BMHWBT	Kein	Kein	WBT # 2005 Edition	7922
bmq	BMQBSM	Boomu	Boomu	BSM # 2012 Edition	7957
bmr	BMRWBT	Muinane	Muinane	WBT # 2009 Edition	7950
bmv	BMVCAB	Bum	Bum	CAB # 2014 Edition	7959
ben	BNGBBS	Bengali	Bengali	BBS # Mussolmani Version	30255
ben	BNGCLV	Bengali	Bengali	CLV # Common Language Version	30237
ben	BNGRBV	Bengali	Bengali	RBV # Re-edit Bangla Version	31099
ben	BNGWTC	Bengali	Bengali	WTC # Easy-to-Read Version	7893
bnj	BNJOMF	Tawbuid, Eastern	Tawbuid, Eastern	OMF # 1996 Edition	7944
boa	BOATBL	Bora	Bora	TBL # 1982 Edition	7651
boj	BOJWBT	Anjam	Anjam	WBT # 2014 Edition	7946
bon	BONPNG	Bine	Bine	PNG # 1993 Edition	7955
bov	BOVWBT	Tuwuli	Tuwuli	WBT # 2008 Edition	7957
box	BOXWYI	Buamu	Buamu	WYI # 2012 Edition	7944
bpr	BPRWYI	Koronadal Blaan	Koronadal Blaan	WYI # 1995 Edition	7928
bps	BPSWPS	Sarangani Blaan	Sarangani Blaan	WPS # 1998 Edition	7927
bqc	BQCSIM	Boko	Boo	SIM # 2010 Edition	31073
bru	BRUNXB	Bru Eastern	Bru Eastern	NXB # 2009 Edition	7921
bss	BSSWBT	Akoose	Akoose	WBT # 2011 Edition	7942
btd	BTDLAI	Pakpak Dairi	Pakpak Dairi	LAI # Today's Batak Dairi Version, 1998	7933
bts	BTSLAI	Batak Simalungun	Batak Simalungun	LAI # Formal Batak Simalungun Version, 1976	7958
btt	BTTPDT	Bete-Bendi	Bete-Bendi	PDT # 1982 Edition	7895
btx	BTXLAI	Batak Karo	Batak Karo	LAI # Today's Batak Karo Version, 1987	7954
bud	BUDIBS	Bassar Ntcham	Bassar Ntcham	IBS # 2008 Edition	7957
buk	BUKLBT	Bukawa - Bugawa	Bukawa - Bugawa	LBT # 2000 Edition	7953
bul	BULB40	Bulgarian	български	B40 # 1940 Bulgarian Bible	31101
bus	BUSSIM	Bokobaru	Bokobaru	SIM # 2005 Edition (OT Portions)	19425
bvc	BVCWBT	Baelelea	Baelelea	WBT # 2014 Edition	7951
bvz	BVZYSS	Bauzi	Bauzi	YSS # 2008 Edition	7800
bwq	BWQBSB	Bobo Madare, Southern	Bobo Madare, Southern	BSB # 2004 Edition	7946
bwu	BWUTBL	Buli	Buli	TBL # 1995 Edition	7836
bxr	BXRIBT	Buryat	Buryat	IBT # IBT Version	7827
bzj	BZJBSW	Belize Kriol	Belize Kriol	BSW # 2012 Edition	7953
cak	CA1WBT	Cakchiquel, South Central	Cakchiquel, South Central	WBT # 2007 Edition	7957
caa	CAAWBT	Chorti	Chorti	WBT # 1996 Edition	7956
cab	CABNVS	Garifuna	Garifuna	NVS # 2002 Edition	7947
cap	CAPSBB	Chipaya	Chipaya	SBB # 2004 Edition	7958
car	CARBSS	Kari&ntilde;a	Carib	BSS # 2003 Edition	7929
cax	CAXSBB	Chiquitano	Chiquitano	SBB # 2002 Edition	7956
cbc	CBCWBT	Carapana	Carapana	WBT # 1992 Edition	7815
cbi	CBITBL	Chachi	Chachi	TBL # 2008 Edition	7953
cbr	CBRTBL	Kakataibo	Kakataibo	TBL # 1995 Edition	7955
cbs	CBSBSP	Junikuin	Junikuin	BSP # 2008 Edition	7479
cco	CCOTBL	Chinanteco de Comaltepec	Chinanteco de Comaltepec	TBL # 2002 Edition	7895
ccp	CCPBIV	Chakma	Chakma	BIV # 2012 Edition	7958
cdf	CDFBIV	Chiru	Chiru	BIV # 2009 Edition	7957
ceb	CEBCBV	Cebuano	Cebuano	CBV # Cebuano Bible Version	31102
ceb	CEBRPV	Cebuano	Cebuano	RPV # Revised Popular Version	7922
ceg	CEGNTP	Chamacoco	Chamacoco	NTP # 2000 Edition	7958
cek	CEKLKC	Chin, Eastern Khumi	Lemi	LKC # 2017 Edition	7896
cfm	CFMBIV	Chin Bualkhaw	Chin Bualkhaw	BIV # 2012 Edition	7957
cgc	CGCTBL	Kagayanen	Kagayanen	TBL # 2007 Edition	7948
chk	CH1CNV	Chinese, Mandarin	中文	CNV # Tianjing (Huizuban Shengjing)	31078
cmn	CHNUN1	Chinese, Mandarin	中文	UN1 # Union Version (Simplified)	31039
cmn	CHNUNV	Chinese, Mandarin	中文	UNV # Union Version (Traditional)	31024
chr	CHRPDV	Cherokee	Cherokee	PDV # Public Domain Version	7957
chv	CHVIBT	Chuvash	Chuvash	IBT # 2009 Edition	7950
chz	CHZWBT	Chinantec de Ozumacin	Chinantec de Ozumacin	WBT # 2003 Edition	7958
cjo	CJOWBT	Asheninka Pajonal	Ashéninka Pajonal	WBT # 2008 Edition	7931
cjp	CJPTJV	Cabecar	Cabecar	TJV # Traducciones al Cabecar Edition	7952
cjv	CJVTBL	Chuave	Chuave	TBL # 1992 Edition	7942
ckb	CK1WBT	Cakchiquel Santo Domingo Xenacoj	Cakchiquel Santo Domingo Xenacoj	WBT # WBT Version	7952
cak	CKIWBT	Cakchiquel, Santa  Maria de Jesus	Cakchiquel, Santa  Maria de Jesus	WBT # 2006 Edition	7958
cak	CKKWBT	Cakchiquel, Yepocapa	Cakchiquel, Yepocapa	WBT # 2003 Edition	7950
cko	CKOGIL	Anufo	Anufo	GIL # 2006 Edition	7970
cak	CKWNVS	Cakchiquel, Western	Cakchiquel, Western	NVS # 1996 Edition	7956
cle	CLETBL	Chinanteco de San Juan Lealao	Chinanteco de San Juan Lealao	TBL # 2008 Edition	7959
cly	CLYAVA	Chatino Lachao Yolotepec	Chatino Lachao Yolotepec	AVA # 2001 Edition	7958
cme	CMEWBT	Cerma	Cerma	WBT # 2011 Edition	7958
cmo	CMOWBT	Central Mnong	Bunong	WBT # 2016 Edition	7937
cmr	CMRWBT	Chin, Mro-Khimi	Chin, Mro-Khimi	WBT # WBT Version	7955
cnh	CNHBSM	Chin, Hakha	Chin, Haka	BSM # 2005 Edition	31087
cni	CNIWBT	Ashaninca	Ashaninca	WBT # 2006 Edition	7775
cnk	CNKBSM	Chin, Matu	Chin, Matu	BSM # 2005 Edition	7986
cnl	CNLTBL	Chinanteco de San Juan Lalana	Chinanteco de San Juan Lalana	TBL # 2012 Edition	7949
cnt	CNTTBL	Chinanteco de Tepetotutla	Chinanteco de Tepetotutla	TBL # 1994 Edition	7948
coe	COEWBT	Koreguaje	Koreguaje	WBT # 2007 Edition	7737
cof	COFWBT	Colorado	Colorado	WBT # 1990 Edition	7878
cok	COKWBT	Cora, Santa Teresa	Cora, Santa Teresa	WBT # WBT Edition	7959
con	CONWBT	Cofan	Cofan	WBT # 1998 Edition	7898
cot	COTTBL	Caquinte	Caquinte	TBL # 2005 Edition	7919
cou	COUWBT	Wamey	Wamey	WBT # WBT Version	7936
cpa	CPATBL	Chinanteco de Palantla	Chinanteco de Palantla	TBL # 1973 Edition	7958
cpb	CPBWBT	Asheninka Ucayali-Yurua	Asheninka Ucayali-Yurua	WBT # 2000 Edition	7957
crh	CRHIBT	Crimean Tatar	Crimean Tatar	IBT # 2016 Edition	31163
crn	CRNWBT	Cora, El Nayar	Cora, El Nayar	WBT # 1999 Edition	7955
crq	CRQCMV	Manj&uacute;i	ManjÃºi	CMV # 2015 Edition	7945
csk	CSKATB	Jola Kasa	Jola Kasa	ATB # 2008 Edition	7954
cso	CSOTBL	Chinanteco de Sochiapan	Chinanteco de Sochiapan	TBL # 1986 Edition	7957
ct1	CT1TEV	Chin, Tedim	Chin, Tiddim	TEV # Revised Today's English Version	30987
ctd	CTDBIV	Chin, Tedim	Zokam	BIV # Zokam Standard Version	7957
ctd	CTDZIV	Chin, Tedim	Zokam	ZIV # 1994 Zokam International Version	7956
ctg	CTGBSB	Chittagonian, Mussolmani	Chittagonian, Mussolmani	BSB # BSB Version	7789
ctp	CTPTBL	Chatino, Western Highland	Chatino, Zona Alta Occidental	TBL # 1992 Edition	7957
cub	CUBWBT	Cubeo	Cubeo	WBT # 1991 Reprint Edition	7953
cuc	CUCTBL	Chinanteco de Usila	Chinanteco de Usila	TBL # 1985 Edition	7956
cui	CUIWBT	Cuiba	Cuiba	WBT # 1987 Edition	7936
cuk	CUKNVS	Kuna San Blas	Kuna San Blas	NVS # 1995 Edition	7958
cul	CULWBT	Culina	Culina	WBT # 2014 Edition	7952
cwe	CWEPBT	Kwere	Kwere	PBT # 2014 Edition	7956
cwt	CWTATB	Kwatay	Kwatay	ATB # 2000 Edition	7912
cya	CYAAVV	Chatino Nopala	Chatino Nopala	AVV # 2000 Edition	7958
ces	CZCK13	Czech	česky	K13 # 1613 Czech Bible Kralicka	31172
czt	CZTBIV	Chin Zotung	Chin Zotung	BIV # 2012 Edition	7957
daa	DAAWYI	Dangaleat	Dangaléat	WYI # 2012 Edition	7955
dad	DADWBT	Marik	Marik	WBT # 2011 Edition	7942
dah	DAHPNG	Gwahatike	Gwahatike	PNG # 2000 Edition	7927
dan	DAND33	Danish	Dansk	D33 # 1933 Danish Bible	31169
dbq	DBQWYI	Daba	Daba	WYI # 2015 Edition	7831
ddn	DDNBIV	Dendi (Benin)	Dendi (Benin)	BIV # 1995 Edition	7960
ded	DEDWYI	Dedua	Dedua	WYI # WBT Version	7832
des	DESWBT	Desano	Desano	WBT # 1984 Edition	7744
dga	DGABIV	Dagaare, Southern	Dagaare, Southern	BIV # 2015 Edition	7957
dgi	DGIABB	Dagara, Northern	Dagara, Northern	ABB # 2004 Edition	7952
dgz	DGZWBT	Daga	Daga	WBT # 2004 Edition	7941
dig	DIGTBL	Digo	Digo	TBL # 2007 Edition	7954
dik	DIKTBL	Dinka, Rek	Dinka, Rek	TBL # 2006 Edition	7953
djk	DJKWBT	Aukaans	Aukaans	WBT # 1999 Edition	7882
dln	DLNBIV	Darlong	Darlong	BIV # BIV Version	31102
dnt	DNTLAI	Dani, Central Grand Valley	Dani, Central Grand Valley	LAI # 1990 Edition	7927
dnw	DNWLAI	Dani, Western	Lani	LAI # 1981 Edition	7903
dob	DOBWBT	Dobu	Dobu	WBT # 1985 Edition	7936
acf	DOMBEC	Saint Lucian Creole	Saint Lucian Creole	BEC # 1999 Edition	7957
dop	DOPBSB	Lokpa	Lokpa	BSB # 2001 Edition	7950
dos	DOSATA	Dogos&eacute;	Dogosé	ATA # ANTBA Version	7932
dsh	DSHBTL	Daasanach	Daasanach	BTL # 2014 Edition	7958
dtb	DTBWBT	Kadazan, Labuk Kinabatangan	Kadazan, Labuk Kinabatangan	WBT # 1996 Edition	7904
dtp	DTPBSM	Dusun, Central	Dusun, Central	BSM # Today's Dusun Version Revised	30471
dts	DTSABM	Dogon, Toroso	Dogon, Toroso	ABM # 1995 Edition	7857
due	DUEWBT	Agta Umiray Dumaget	Agta Umiray Dumaget	WBT # WBT Version	7957
dug	DUGBTL	Duruma	Duruma	BTL # 1999 Edition	7938
duo	DUOWBT	Agta Dupaninan	Agta Dupaninan	WBT # WBT Version	7939
dwr	DWRBSE	Dawro	Dawro	BSE # 2011 Edition	7951
dwr	DWRTBL	Dawro	Dawro	TBL # 2009 Edition	7804
dww	DWWWBT	Dawawa	Dawawa	WBT # 2002 Edition	7943
dyi	DYIIBS	Senoufo, Djimini	Senoufo, Djimini	IBS # 1993 Edition	7957
dyo	DYOBSG	Jola-Fogny	Jola-Fogny	BSG # 2011 Edition	7959
dyu	DYUBSB	Jula	Jula	BSB # 1996 Edition	7956
dyu	DYUWYI	Jula	Jula	WYI # 2013 Edition	31170
dzo	DZOEHP	Dzongkha	Dzongkha	EHP # 2012 Edition	7902
eip	EIPWBT	Lik	Lik	WBT # 2013 Edition	7878
eka	EKAWYI	Ekajuk	Ekajuk	WYI # 2012 Scriptures Unlimited (revision)	7958
emp	EMPWYI	Embera, Northern	Embera, Northern	WYI # 2011 Edition	7752
eng	EN1WEB	English	English	WEB # WEB - Winfred Henson	31102
enb	ENBBTL	Marakwet	Marakwet	BTL # 2008 Edition	7906
eng	ENGASV	English	English	ASV # American Standard Version	31102
eng	ENGESV	English	English	ESV # Drama 2001/2007 English Standard	31086
eng	ENGEVD	English	English	EVD # English Version for the Deaf	30963
eng	ENGKJV	English	English	KJV # King James	31102
eng	ENGNAS	English	English	NAS # NAS New American Standard Bible	31103
eng	ENGNLV	English	English	NLV # 1986 New Life Version (Easy to Read)	7957
eng	ENGREV	English	English	REV # Revised Version 1885	31102
eng	ENGWEB	English	English	WEB # World English Bible	31102
eng	ENGWM1	English	English	WM1 # World Messianic Version	31102
eng	ENGWMV	English	English	WMV # Wycliffe Modern Version	31104
enq	ENQPNG	Enga	Enga	PNG # 1988 Edition	7936
kan	ERVWTC	Kannada	ಕನ್ನಡ	WTC # Easy-to-Read Version	7888
ese	ESENTM	Ese Ejja	Ese Ejja	NTM # 2006 Edition	7957
ess	ESSWYI	St. Lawrence Island Yupik	St. Lawrence Island Yupik	WYI # WBT Version	7861
eus	EUSNLT	Euskara	Euskara	NLT # 1571 Navarro-Labourdin	7948
faa	FAAWBT	Fasu	Fasu	WBT # 2012 Edition	7944
fai	FAIPNG	Faiwol	Faiwol	PNG # 1995 Edition	7956
fal	FALTBL	Fali, South	Fali, South	TBL # 1975 Edition	7957
far	FARWBT	Fataleka	Fataleka	WBT # WBT Version	7951
ffm	FFMTBL	Fulfulde, Maasina	Fulfulde, Maasina	TBL # 2005 Edition	7957
fij	FIJBSP	Fijian	Fijian	BSP # 2005 New Version	7957
fin	FIN38V	Finnish	Suomi	38V # 1938 Suomennos Version	31018
fin	FINELC	Finnish	Suomi	ELC # 1992 The Evangelical Lutheran Church of Finland	31134
izr	FIZTBL	Izere	Izere	TBL # 2006 Edition	7987
