language_iso	trans_ID	language_english	language_name	version	verses
cfm	FLMBIV	Chin, Falam	Chin, Falam	BIV # 2009 Edition	7950
cfm	FLMUBS	Chin, Falam	Chin, Falam	UBS # 2005 Edition	30534
fmu	FMUWIN	Far Western Muria	Gaita Koitor	WIN # WIN Version	1148
for	FORBSV	Fore	Fore	BSV # 1974 Edition	7958
frd	FRDWBT	Fordata	Fordata	WBT # 2016 Edition	7866
fra	FRNDBY	French	FranÃ§ais	DBY # 1885 Darby	31100
fra	FRNPDC	French	FranÃ§ais	PDC # 2000 Parole de Vie (Canadian) Version	7953
fra	FRNPDV	French	FranÃ§ais	PDV # 2000 Parole de Vie (African) Version	7934
fra	FRNTLS	French	FranÃ§ais	TLS # 1910 Louis Segond (Tresorsonore recording)	31170
fuv	FU2TBL	Fulfulde, Nigerian (Caka)	Fulfulde, Nigerian (Caka)	TBL # Bible League Version (Arabic Script)	7959
fuh	FU3WBT	Fulfulde, Western Niger	Fulfulde, Western Niger	WBT # 2017 Edition	7908
fuf	FUFPBT	Pular	Pular	PBT # 2011 Edition	7957
fuh	FUHSIM	Fulfulde, Burkina Faso	Fulfulde, Burkina Faso	SIM # 2012 Edition	7957
fuq	FUQWBT	Fulfulde, Central Eastern Niger	Fulfulde, Central Eastern Niger	WBT # 2015 Edition	7958
fuv	FUVTBL	Fulfulde, Nigerian (Caka)	Fulfulde, Nigerian (Caka)	TBL # Bible League Version (Latin Script)	7959
gag	GAGIB1	Gagauz	Gagauz	IB1 # 2006 Edition (Cyrillic)	7954
gag	GAGIBT	Gagauz	Gagauz	IBT # 2006 Edition (Latin)	7954
gah	GAHPNG	Alekano	Alekano	PNG # 2013 Edition	7941
gam	GAMWBT	Kandawo	Kandawo	WBT # 2014 Edition	7947
gaw	GAWWBT	Nobonob	Nobonob	WBT # 1990 Edition	7946
gbi	GBILAI	Galela	Galela	LAI # 2002 Edition	7948
gde	GDEWBT	Gude	Gude	WBT # 1999 Edition	7940
gdn	GDNPNG	Umanakaina	Umanakaina	PNG # 1999 Edition	7933
gdr	GDRPNG	Wipi	Wipi	PNG # 2001 Edition	7956
deu	GERD05	German	Deutsch	D05 # 1905 Darby Unrevidierte Elberfel	31101
deu	GERD71	German	Deutsch	D71 # 1971 Darby Unrevidierte Elberfel	31056
deu	GERL12	German	Deutsch	L12 # 1912 Luther Bibel	31102
deu	GERL45	German	Deutsch	L45 # 1545 Luther Bibel	31102
gfk	GFKTBL	Patpatar	Patpatar	TBL # 1997 Edition	7938
ghs	GHSPNG	Guhu-Samane	Guhu-Samane	PNG # 1975 Edition	7905
gmv	GMVTBL	Gamo	Gamo	TBL # 2009 Edition	7842
gna	GNAWBT	Kaansa	Kaansa	WBT # WBT Version	7835
gnd	GNDWYI	Zulgo	Zulgo	WYI # 1988 Edition	7887
gng	GNGWYI	Ngangam	Gangam	WYI # 2011 Edition	7957
gnw	GNWNTM	Western Bolivian Guarani	Guaraní, Western Bolivian	NTM # 1984 Edition	7945
gof	GO1TBL	Goffa	Goffa	TBL # 2009 Edition (Ethiopic script)	7931
gof	GOFTBL	Goffa	Goffa	TBL # 2009 Edition (Latin script)	7958
gog	GOGBST	Chigogo	Chigogo	BST # 2002 Edition	7957
gor	GORLAI	Gorontalo	Gorontalo	LAI # Today's Gorontalo Version, 2010	7954
gqr	GQRWBT	Gor	Gor	WBT # 2014 Edition	7957
ell	GRKEPT	Greek	Greek	EPT # OT: Septuaginta LXX NT: Antoniades Patriarchal Edition	7959
ell	GRKSFT	Greek	Greek	SFT # 2013 Spyros Filos Translation	31104
grt	GRTBBS	Garo	Garo	BBS # 2004 Edition	7813
gso	GSOCAR	Gbaya, Southwest	Gbaya, Southwest	CAR # 2005 Edition	7958
gur	GU1WBT	Ninkare	Ninkare	WBT # 2003 Edition	7948
gub	GUBWBT	Guajajara	Guajajára	WBT # 2007 Edition	30187
guc	GUCTBL	Wayuu	Wayuu	TBL # 2002 Edition	7621
guh	GUHWBT	Guahibo	Guahibo	WBT # 2002 Edition	7884
gui	GUISBU	Guarani, Bolivian	Guarani, Bolivian	SBU # 2001 Edition	7914
guj	GUJWTC	Gujarati	Gujarati	WTC # 2003 Edition	30928
guk	GUKBSE	Gumuz	Gumuz	BSE # 2003 Edition	7958
gum	GUMTBL	Guambiano	Guambiano	TBL # 2000 Edition	7957
gun	GUNWBT	Guarani, Mbya	Guarani, Mbya	WBT # 2004 Edition	7957
guo	GUOWBT	Guayabero	Guayabero	WBT # WBT Edition	7800
guq	GUQLPY	Ache	Aché	LPY # LETRA Version	7957
gur	GURIBS	Frafra	Frafra	IBS # 2008 Edition	7958
guu	GUUMJR	Yanomamö	Yanomamö	MJR # 2008 Edition	7958
gux	GUXABB	Gourmanchema	Gulmancema	ABB # 2003 Edition	7950
gvc	GVCTBL	Guanano	Guanano	TBL # 2007 Edition	7765
gvf	GVFWBT	Golin	Golin	WBT # 1980 Edition	7952
gvl	GVLABT	Gulei	Gulei	ABT # 2004 Edition	7958
gwi	GWIWBT	Gwichin	Gwichʼin	WBT # 2010 Edition	7940
gwr	GWRWBT	Lugwere	Lugwere	WBT # 2017 Edition	7951
gym	GYMWBT	Guaymi	Guaymi	WBT # 2004 Edition	7804
gyr	GYRSBB	Guarayo	Guarayo	SBB # 2002 Edition	7936
hae	HAEBSE	Oromo, Eastern	Oromo, Eastern	BSE # 2005 Edition	7958
hag	HAGGIL	Hanga	Hanga	GIL # 1983 Edition	7694
hak	HAKTHV	Hakka	Hakka	THV # (Romanized) Today's Taiwanese Hakka Bible	7909
hat	HATSBH	Haitian Creole	Kreyòl ayisyen	SBH # 1999 Edition	7949
heb	HBRHMT	Hebrew	עברית	HMT # 1995 Modern Hebrew	31152
heh	HEHBST	Kihehe	Kihehe	BST # 1999 Edition	7958
hif	HIFBSP	Fiji-Hindi	Fiji-Hindi	BSP # BSSP Edition	7863
hig	HIGTBL	Higgi	Higgi	TBL # 1997 Edition	7911
hil	HILHPV	Hiligaynon	Hiligaynon	HPV # 1983 Popular Version	7942
hla	HLAPNG	Halia	Halia	PNG # 1978 Edition	7949
hmo	HMOPNG	Motu, Hiri	Motu, Hiri	PNG # 1994 Edition	30911
hin	HNDSKV	Hindi	हिंदी	SKV # Sab Ki Version	7957
