language_iso	trans_ID	language_name	verses	source
kbp	KBPRCV	Kabiye	7954	API
kbr	KBRSIM	Kafa	7683	API
kcg	KCGWBT	Tyap	7952	API
kdp	KD1BSU	Kebu	7957	API
kdc	KDCPBT	Kutu	7959	API
kue	KDIBSU	Kumam	7958	API
kdj	KDJBSU	Karimojong	7958	API
kek	KEKIBS	Kekchi	7958	API
ken	KENWBT	Kenyang	7948	API
keo	KEOBSU	Kakwa	7961	API
ker	KERABT	Kera	7956	API
kez	KEZLCN	Kukele	7936	API
kgr	KGRLAI	Abun	7947	API
khq	KHQBIV	Songhay, Timbuktu	7957	API
khz	KHZPNG	Kalo	7958	API
kia	KIAWBT	Garab	7955	API
kij	KIJPNG	Kiriwina	7918	API
kje	KJEWBT	Kisar	7843	API
kjh	KJHIBT	Khakas	7954	API
kki	KKIBST	Kikagulu	7958	API
kkj	KKJWBT	Kako	7946	API
kle	KLENLI	Kulung	7959	API
klv	KLVWBT	Maskelynes	7958	API
kmr	KM2IBT	Kurmancî	7941	API
kmy	KMAWBT	Koma	7948	API
kmd	KMDTAP	Kalinga Majukayang	7886	API
khm	KMHBSC	Khmer, Central	7959	API
khm	KMHKOV	Khmer, Central	7957	API
kmo	KMOWBT	Kwoma	7953	API
kmr	KMRIBT	Kurmancî	7935	API
kms	KMSPNG	Kamasau	7955	API
kmu	KMUTBL	Kanite	7945	API
knv	KN1PNG	Tabo Aramia	7949	API
kne	KNETBL	Kankanaey	7947	API
knf	KNFWYI	Mankanya	7958	API
knj	KNJSBI	Akateko	7922	API
knk	KNKBSL	Kuranko	7900	API
kno	KNOBSL	Kono	7877	API
knv	KNVPNG	Tabo Fly River	7949	API
kor	KO2NKV	한국어, 북한	31101	API
kog	KOGWBT	Kogi	7958	API
kpf	KPFWBT	Komba	7949	API
kpg	KPGKTC	Kapingamarangi	30555	API
kpq	KPQBSI	Kimyal of Korupun	7958	API
kpr	KPRTBL	Korafe	7647	API
kpv	KPVIBT	Komi-Zyrian	7932	API
kpw	KPWPNG	Kobon	7940	API
kpz	KPZBSU	Kupsapiny	7955	API
kqe	KQETBL	Kalagan, Eastern	7959	API
kqp	KQPWBT	Kimre	7956	API
kqy	KQYBSE	Koorete	7955	API
krc	KRCLIO	Balkar	7954	API
kri	KRINVS	Krio	7926	API
krj	KRJWBT	Kinaray-a	7957	API
krl	KRLIBT	Karelian, North	7954	API
kru	KRUFMP	Kurukh	7957	API
ksd	KSDPNG	Kuanua	31096	API
ksr	KSRPNG	Borong	7957	API
ktb	KTBBSE	Kambaata	7950	API
ktj	KTJWBT	Krumen, Plapo	7935	API
kto	KTOWBT	Kuot	7942	API
kub	KUBTBL	Kutep	7928	API
kud	KUDBTA	Kurux	7958	API
kue	KUEPNG	Kuman	7959	API
kup	KUPTBL	Kunimaipa	7904	API
kus	KUSTBL	Kusaal	7954	API
kvn	KVNWBT	Kuna Border	7958	API
kwf	KWFWBT	Kwara'ae	7951	API
kwi	KWIWBT	Awa for Ecuador	7917	API
kwj	KWJWBT	Kwanga	7958	API
kxc	KXCBSE	Konso	7957	API
kxm	KXMTBS	Khmer, Northern	7938	API
kyb	KYBTAP	Kalinga, Butbut	7952	API
kyc	KYCPNG	Kyaka	7901	API
kyf	KYFWBT	Kouya	7937	API
kyq	KYQWYI	Kenga	7932	API
kyu	KYUBSM	Kayah, Western	7959	API
kyz	KYZWBT	Kayabi	7575	API
kze	KZEWBT	Kosena	7930	API
kzf	KZFLAI	Kaili, Da'a	7870	API
kzj	KZJAKK	Kadazan, Coastal	7955	API
